nspr 4.35-2
nss 3.96.1-1
nvidia 545.29.06-6
nvidia-prime 1.0-4
nvidia-utils 545.29.06-1
ocl-icd 2.3.2-1
onevpl 2023.4.0-1
opencore-amr 0.1.6-1
opendoas 6.8.2-1
openexr 3.2.1-1
openjpeg2 2.5.0-3
openmpi 4.1.5-5
openpmix 4.2.6-1
openssh 9.6p1-1
openssl 3.2.0-1
opus 1.4-1
orc 0.4.34-1
otf-hermit-nerd 3.1.1-1
p11-kit 0.25.3-1
p7zip 1:17.05-2
pacman 6.0.2-8
pahole 1:1.25-4
pam 1.5.3-3
pambase 20230918-1
pango 1:1.51.1-1
pangomm 2.46.3-1
patch 2.7.6-10
pciutils 3.10.0-1
pcre 8.45-4
pcre2 10.42-2
perl 5.38.1-1
perl-error 0.17029-5
perl-mailtools 2.21-7
perl-timedate 2.33-5
picom 10.2-1
pinentry 1.2.1-3
pipewire 1:1.0.0-2.1
pipewire-alsa 1:1.0.0-2.1
pipewire-audio 1:1.0.0-2.1
pipewire-jack 1:1.0.0-2.1
pipewire-pulse 1:1.0.0-2.1
pixman 0.42.2-1
pkgconf 2.1.0-2
polkit 123-1
poppler-data 0.4.12-1
popt 1.19-1
portaudio 1:19.7.0-2
procps-ng 4.0.4-2
psiconv 0.9.9-8
psmisc 23.6-1
python 3.11.6-1
python-argcomplete 2.0.0-2
python-attrs 23.1.0-1
python-cairocffi 1.6.1-1
python-cffi 1.16.0-1
python-click 8.1.7-1
python-cryptography 41.0.7-1
python-distro 1.8.0-3
python-gobject 3.46.0-1
python-packaging 23.2-1
python-pip 23.3.2-1
python-pipx 1.3.3-2
python-platformdirs 4.1.0-1
python-ply 3.11-12
python-pycparser 2.21-5
python-pywayland 0.4.17-1
python-pywlroots 0.16.6-2
python-typing_extensions 4.9.0-1
python-userpath 1.9.1-1
python-wheel 0.42.0-1
python-xcffib 1.4.0-1
python-xkbcommon 0.8-2
qt5-base 5.15.11+kde+r148-1
qt5-translations 5.15.11-1
qt6-base 6.6.1-3
qt6-translations 6.6.1-1.2
qtile 0.23.0-2
ranger 1.9.3-9
raptor 2.0.16-4
rasqal 1:0.9.33-6
rav1e 0.6.6-3
readline 8.2.007-1
redland 1:1.0.17-8
ripgrep 14.0.3-1
rofi 1.7.5-2
rofi-emoji 3.2.0-1
rtkit 0.13-2.1
rubberband 3.3.0-1
sbc 2.0-1
scrot 1.10-1
sdl2 2.28.5-1
seatd 0.8.0-1
sed 4.9-3
semver 7.5.4-1
serd 0.32.0-1
shaderc 2023.7-2
shadow 4.14.2-1
shared-mime-info 2.4-1
slock 1.5-1
snappy 1.1.10-1
sof-firmware 2023.12-1
sord 0.16.16-1
speex 1.2.1-1
speexdsp 1.2.1-1
spirv-tools 2023.5-1
sqlite 3.44.2-2
sratom 0.6.16-1
srt 1.5.3-1
startup-notification 0.12-8
svt-av1 1.8.0-1
t1lib 5.1.2-8.1
tar 1.35-2
texinfo 7.1-2
tlp 1.6.1-1
tlp-dinit 20211103-1
tpm2-tss 4.0.1-1
tracker3 3.6.0-2
tree-sitter 0.20.10-2
tslib 1.22-1
ttf-dejavu-nerd 3.1.1-1
ttf-hack-nerd 3.1.1-1
ttf-ibm-plex 6.3.0-1
ttf-ibmplex-mono-nerd 3.1.1-1
ttf-jetbrains-mono-nerd 3.1.1-1
ttf-liberation 2.1.5-1
ttf-nerd-fonts-symbols-common 3.1.1-1
ttf-nerd-fonts-symbols-mono 3.1.1-1
ttf-noto-nerd 3.1.1-1
ttf-sourcecodepro-nerd 3.1.1-1
ttf-ubuntu-nerd 3.1.1-1
tzdata 2023d-1
uchardet 0.0.8-2
udev 255.2-1
ufw 0.36.2-2
ufw-dinit 20211103-2
ungoogled-chromium 120.0.6099.129-1
unibilium 2.1.1-1
unrar 1:6.2.12-1
unzip 6.0-20
upower 1.90.2-1
usbmuxd 1.1.1-3.1
usbutils 017-1
util-linux 2.39.3-1
util-linux-libs 2.39.3-1
v4l-utils 1.26.1-1
vid.stab 1.1.1-1
vmaf 3.0.0-1
vulkan-headers 1:1.3.274-1
vulkan-icd-loader 1.3.274-1
vulkan-tools 1.3.269-1
wavpack 5.6.0-1
wayland 1.22.0-1
webrtc-audio-processing-1 1.3-2
which 2.21-6
wireplumber 0.4.17-1
wlroots0.16 0.16.2-2
wv 1.2.9-6
x264 3:0.164.r3108.31e19f9-1
x265 3.5-3
xcb-proto 1.16.0-1
xcb-util 0.4.1-1
xcb-util-cursor 0.1.5-1
xcb-util-errors 1.0.1-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xcb-util-xrm 1.3-2.1
xclip 0.13-4
xdg-desktop-portal 1.18.2-1
xdg-user-dirs 0.18-1
xdg-utils 1.2.0r25+g0f49cf5-1
xf86-input-libinput 1.4.0-1
xf86-video-vesa 2.6.0-1
xkeyboard-config 2.40-1
xorg-bdftopcf 1.1.1-1
xorg-font-util 1.4.1-1
xorg-fonts-100dpi 1.0.4-2
xorg-fonts-75dpi 1.0.4-1
xorg-fonts-alias-100dpi 1.0.5-1.1
xorg-fonts-alias-75dpi 1.0.5-1.1
xorg-fonts-encodings 1.0.7-1
xorg-iceauth 1.0.9-1
xorg-mkfontscale 1.2.2-1.1
xorg-server 21.1.10-1
xorg-server-common 21.1.10-1
xorg-server-devel 21.1.10-1
xorg-server-xephyr 21.1.10-1
xorg-server-xnest 21.1.10-1
xorg-server-xvfb 21.1.10-1
xorg-sessreg 1.1.3-1
xorg-setxkbmap 1.3.4-1
xorg-util-macros 1.20.0-2
xorg-xauth 1.1.2-1
xorg-xcursorgen 1.0.8-1
xorg-xdpyinfo 1.3.4-1.1
xorg-xev 1.2.5-1.1
xorg-xhost 1.0.9-1
xorg-xinit 1.4.2-1
xorg-xinput 1.6.4-1
xorg-xkbcomp 1.4.6-1
xorg-xkill 1.0.6-1
xorg-xmodmap 1.0.11-1
xorg-xprop 1.2.6-1
xorg-xrandr 1.5.2-1
xorg-xrdb 1.2.2-1
xorg-xrefresh 1.0.7-1
xorg-xset 1.2.5-1
xorg-xsetroot 1.1.3-1
xorg-xwayland 23.2.3-1
xorgproto 2023.2-1
xvidcore 1.3.7-2.1
xxhash 0.8.2-1
xz 5.4.5-1
yay 12.2.0-1
zimg 3.0.5-1
zix 0.4.2-2
zlib 1:1.3-2
zstd 1.5.5-1
